_id,name,__v,capacity,coordinates.type,coordinates.coordinates[0],coordinates.coordinates[1],createdAt,currentOccupancy,description,isActive,type,updatedAt,allowedRoles[0],allowedRoles[1],allowedRoles[2],allowedRoles[3]
69caf94e167f663c0f8d5010,البوابة الرئيسية — Main Gate,0,0,Point,30.7441,28.1099,2026-03-30T22:29:34.621Z,11,المدخل الرئيسي لجامعة المنيا — الطريق الرئيسي,true,gate,2026-04-01T11:07:24.857Z,,,,
69caf94e167f663c0f8d5011,البوابة الخلفية — Back Gate,0,0,Point,30.742,28.1085,2026-03-30T22:29:34.740Z,1,البوابة الخلفية للجامعة — ناحية كورنيش النيل,true,gate,2026-03-30T23:02:21.266Z,,,,
69caf94e167f663c0f8d5012,بوابة المدينة الجامعية — Dorms Gate,0,0,Point,30.746,28.111,2026-03-30T22:29:34.864Z,0,بوابة الدخول للمدينة الجامعية (الطلبة والعاملين فقط),true,gate,2026-03-30T23:02:21.404Z,student,worker,admin,security
69caf94f167f663c0f8d5013,كلية الحاسبات والمعلومات — Faculty of Computers and Information,0,800,Point,30.7445,28.1095,2026-03-30T22:29:34.988Z,0,مبنى كلية الحاسبات والمعلومات — أقسام: علوم الحاسب، نظم المعلومات، تكنولوجيا المعلومات,true,building,2026-03-30T23:02:21.535Z,,,,
69caf94f167f663c0f8d5014,كلية الهندسة — Faculty of Engineering,0,1200,Point,30.7435,28.109,2026-03-30T22:29:35.123Z,0,مبنى كلية الهندسة — أقسام: مدني، كهربية، ميكانيكا، عمارة,true,building,2026-03-30T23:02:21.670Z,,,,
69caf94f167f663c0f8d5015,كلية العلوم — Faculty of Science,0,1000,Point,30.745,28.1102,2026-03-30T22:29:35.271Z,1,مبنى كلية العلوم — أقسام: رياضيات، فيزياء، كيمياء، أحياء,true,building,2026-03-30T23:02:21.806Z,,,,
69caf94f167f663c0f8d5016,كلية الطب — Faculty of Medicine,0,1500,Point,30.743,28.108,2026-03-30T22:29:35.414Z,0,مبنى كلية الطب البشري والمستشفى الجامعي,true,building,2026-03-30T23:02:21.945Z,,,,
69caf94f167f663c0f8d5017,كلية الآداب — Faculty of Arts,0,900,Point,30.7455,28.1108,2026-03-30T22:29:35.539Z,0,مبنى كلية الآداب — أقسام: اللغة العربية، الإنجليزية، التاريخ، الجغرافيا,true,building,2026-03-30T23:02:22.088Z,,,,
69caf94f167f663c0f8d5018,كلية التجارة — Faculty of Commerce,0,1100,Point,30.7438,28.1105,2026-03-30T22:29:35.676Z,0,مبنى كلية التجارة — أقسام: المحاسبة، إدارة الأعمال، الاقتصاد,true,building,2026-03-30T23:02:22.211Z,,,,
69caf94f167f663c0f8d5019,كلية الحقوق — Faculty of Law,0,700,Point,30.7442,28.1112,2026-03-30T22:29:35.797Z,0,مبنى كلية الحقوق,true,building,2026-03-30T23:02:22.331Z,,,,
69caf950167f663c0f8d501a,كلية التربية — Faculty of Education,0,600,Point,30.7448,28.1115,2026-03-30T22:29:35.933Z,0,مبنى كلية التربية وتأهيل المعلمين,true,building,2026-03-30T23:02:22.502Z,,,,
69caf950167f663c0f8d501b,المكتبة المركزية — Central Library,0,300,Point,30.7443,28.11,2026-03-30T22:29:36.069Z,0,المكتبة المركزية لجامعة المنيا — كتب ومراجع ودوريات علمية,true,library,2026-03-30T23:02:22.636Z,,,,
69caf950167f663c0f8d501c,مكتبة كلية الحاسبات — CS Library,0,80,Point,30.7446,28.1096,2026-03-30T22:29:36.208Z,0,مكتبة كلية الحاسبات والمعلومات — مراجع تقنية ودوريات IEEE/ACM,true,library,2026-03-30T23:02:22.772Z,,,,
69caf950167f663c0f8d501d,معمل الحاسب 1 — Computer Lab 1,0,60,Point,30.7445,28.1094,2026-03-30T22:29:36.326Z,0,معمل الحاسب الرئيسي — كلية الحاسبات والمعلومات (الدور الأول),true,lab,2026-03-30T23:02:22.907Z,student,academic_staff,admin,
69caf950167f663c0f8d501e,معمل الحاسب 2 — Computer Lab 2,0,60,Point,30.7445,28.1093,2026-03-30T22:29:36.463Z,0,معمل الحاسب الثاني — كلية الحاسبات والمعلومات (الدور الثاني),true,lab,2026-03-30T23:02:23.043Z,student,academic_staff,admin,
69caf950167f663c0f8d501f,معمل الشبكات — Networking Lab,0,40,Point,30.7444,28.1095,2026-03-30T22:29:36.613Z,0,معمل الشبكات وأمن المعلومات — كلية الحاسبات والمعلومات,true,lab,2026-03-30T23:02:23.170Z,student,academic_staff,admin,
69caf950167f663c0f8d5020,معمل الذكاء الاصطناعي — AI Lab,0,25,Point,30.7446,28.1094,2026-03-30T22:29:36.750Z,0,معمل أبحاث الذكاء الاصطناعي وتعلم الآلة — كلية الحاسبات,true,lab,2026-03-30T23:02:23.320Z,academic_staff,admin,,
69caf950167f663c0f8d5021,القاعة الكبرى — Main Auditorium,0,500,Point,30.744,28.1098,2026-03-30T22:29:36.856Z,0,القاعة الكبرى للمؤتمرات والندوات — المبنى الإداري,true,hall,2026-03-30T23:02:23.438Z,,,,
69caf951167f663c0f8d5022,مدرج كلية الحاسبات — CS Lecture Hall,0,250,Point,30.7445,28.1097,2026-03-30T22:29:36.995Z,0,المدرج الرئيسي لكلية الحاسبات والمعلومات,true,hall,2026-03-30T23:02:23.568Z,,,,
69caf951167f663c0f8d5023,المبنى الإداري — Administration Building,0,200,Point,30.744,28.11,2026-03-30T22:29:37.144Z,0,المبنى الإداري الرئيسي — مكتب رئيس الجامعة ونواب الرئيس,true,office,2026-03-30T23:02:23.709Z,admin_staff,academic_staff,admin,
69caf951167f663c0f8d5024,شئون الطلاب — Student Affairs,0,100,Point,30.7441,28.1101,2026-03-30T22:29:37.265Z,0,مكتب شئون الطلاب — التسجيل، الشهادات، الأنشطة الطلابية,true,office,2026-03-30T23:02:23.834Z,,,,
69caf951167f663c0f8d5025,المدينة الجامعية — Student Dormitories,0,2000,Point,30.746,28.1112,2026-03-30T22:29:37.378Z,0,سكن الطلاب والطالبات — المدينة الجامعية,true,other,2026-03-30T23:02:23.964Z,student,worker,security,admin
69caf951167f663c0f8d5026,الملاعب الرياضية — Sports Complex,0,500,Point,30.7458,28.109,2026-03-30T22:29:37.508Z,0,ملاعب كرة القدم والسلة والطائرة وصالة الألعاب الرياضية,true,other,2026-03-30T23:02:24.092Z,,,,
69caf951167f663c0f8d5027,كافيتريا الجامعة — University Cafeteria,0,400,Point,30.7443,28.1103,2026-03-30T22:29:37.642Z,0,الكافيتريا المركزية لجامعة المنيا,true,other,2026-03-30T23:02:24.229Z,,,,
